위치,일자,현재발전출력,계절,평균기온(°C),강수 계속시간(hr),1시간 최다강수량(mm),일강수량(mm),가조시간(hr),합계 일조시간(hr),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),수평일사량,경사일사량,외기온도,위치코드
당진,2020-01-13,120.05213128015038,겨울,0.0,0.0,0.0,0.0,9.9,6.3,5.9,0.0,1.7,224.43242870986825,206.1638492466208,12.161045274587114,1
당진,2020-01-14,287.15295188128664,겨울,-0.9,0.0,0.0,0.0,9.9,3.4,7.0,0.0,1.1,90.64790566101831,287.74698081098245,9.732407901387052,1
당진,2020-01-15,251.8970552355452,겨울,-1.5,0.0,0.0,0.0,9.9,7.4,3.6,0.0,0.9,213.16575412114528,324.80603216873374,11.962611667676466,1
당진,2020-01-16,150.23542005582414,겨울,-1.4,0.0,0.0,0.0,9.9,8.1,7.9,0.0,0.3,93.21748429570692,249.98422087148845,11.90508430092402,1
당진,2020-01-17,176.27236385208366,겨울,-1.4,0.0,0.0,0.0,10.0,6.7,4.6,0.0,0.6,253.7692145549014,162.4503496883577,7.101585646441196,1
당진,2020-01-18,198.5369204153885,겨울,-1.0,0.0,0.0,0.0,10.0,9.1,1.8,0.0,0.4,275.21408743154905,151.62791098166352,9.637890144504825,1
당진,2020-01-19,392.67367168690873,겨울,1.7,0.0,0.0,0.0,10.0,5.7,6.6,0.0,1.3,219.8107524783349,116.45767448716396,13.870839914839625,1
당진,2020-01-20,226.70558087310408,겨울,1.7,0.0,0.0,0.0,10.0,6.5,4.4,0.0,1.2,118.15974637646718,363.0551159491183,4.64142007541581,1
당진,2020-01-21,54.1967863651922,겨울,-0.7,0.0,0.0,0.0,10.1,9.2,3.8,0.0,0.5,367.14196497255625,196.56432287579617,7.283422831427872,1
당진,2020-01-22,325.40603453067536,겨울,1.8,0.0,0.0,1.4,10.1,0.1,9.3,0.0,1.0,63.41960093546494,282.11818775449177,7.501592691852959,1
당진,2020-01-23,80.25617927756262,겨울,4.2,0.0,0.0,0.0,10.1,8.5,4.9,0.0,2.8,71.78401136968205,249.9551440358088,3.676752982932618,1
당진,2020-01-24,40.4927632982168,겨울,2.4,0.0,0.0,0.0,10.1,8.9,6.0,0.0,2.4,141.61027500490326,317.8253318988032,4.686948319695862,1
당진,2020-01-25,78.43030657063137,겨울,2.9,0.0,0.0,0.0,10.2,2.0,8.1,0.0,2.2,382.92532544802,331.93195224070735,6.388188756700581,1
당진,2020-01-26,52.36773950089272,겨울,5.8,0.0,0.0,0.0,10.2,6.2,7.8,0.0,3.4,394.2978461375287,67.29146038338455,11.170337839766391,1
당진,2020-01-27,372.7670924074678,겨울,5.4,0.0,0.0,0.9,10.2,0.0,9.9,0.0,4.0,261.15029273705903,347.22148356975447,14.033141312932871,1
당진,2020-01-28,183.6499582027984,겨울,6.6,0.0,0.0,0.0,10.2,3.0,8.3,0.0,5.8,338.4601463264737,231.7624406056686,7.522190805418637,1
당진,2020-01-29,40.7221136864433,겨울,6.1,0.0,0.0,0.0,10.3,3.4,7.8,0.0,5.7,332.0157100321956,180.7550624191743,8.920203687942745,1
당진,2020-01-30,129.78142118587508,겨울,3.3,0.0,0.0,0.0,10.3,5.2,3.9,0.0,2.9,443.9097056628626,264.77011772934986,5.099678211394736,1
당진,2020-01-31,297.34079385702216,겨울,0.6,0.0,0.0,0.0,10.3,7.8,3.4,0.0,1.5,224.0361286653432,333.3793620477452,12.196984051037203,1
당진,2016-01-01,344.7369155310826,겨울,2.6,0.0,0.0,0.0,9.7,2.4,6.9,6.9,1.7,300.512541382885,42.3356282397104,9.173794083496215,1
